SampleID	CONTIG_COUNT	TOTAL_LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	T2T_SCAFFOLDS	TELOMERE_FWD	TELOMERE_REV
BL_BS1.AAFTF	92	1382703	505	472935	1001	15029.38	2	277768	11	7667	34.69	NA	NA	1
BL_ER1.AAFTF	42	77240	510	8784	1107	1839.05	9	2715	29	694	37.65	NA	NA	NA
CO-4.AAFTF	37	72236	505	7569	1363	1952.32	9	2547	27	970	40.16	NA	NA	1
CU2.AAFTF	411	2312744	504	123105	2063	5627.11	40	12578	193	2475	32.92	NA	1	NA
CU3.AAFTF	815	1547895	500	95106	659	1899.26	39	5169	528	588	51.09	NA	NA	NA
ML05C22.AAFTF	115	137922	490	16429	607	1199.32	14	1811	89	545	43.40	NA	NA	NA
MLPPCA1.AAFTF	197	189951	500	9249	645	964.22	46	903	161	533	43.41	NA	NA	1
PS_BLOW.AAFTF	658	2044259	501	232309	1300	3106.78	60	5707	378	1133	30.01	NA	2	2
